type;Replicate;time ;N;temp;act+;act;sumact;in;propact
CTRL;1;2h;21;5;21;0;21;0;1
CTRL;2;2h;22;5;22;0;22;0;1
CTRL;3;2h;21;5;19;1;20;1;0,952
CTRL;4;2h;21;5;21;0;21;0;1
CTRL;5;2h;22;5;22;0;22;0;1
40ºC;1;2h;21;40;20;0;20;1;0,952
40ºC;2;2h;21;40;20;0;20;1;0,952
40ºC;3;2h;21;40;20;1;21;0;1
40ºC;4;2h;22;40;20;0;20;2;0,909
40ºC;5;2h;21;40;21;0;21;0;1
50ºC;1;2h;23;50;23;0;23;0;1
50ºC;2;2h;22;50;17;0;17;5;0,773
50ºC;3;2h;21;50;18;1;19;2;0,905
50ºC;4;2h;22;50;19;1;20;2;0,909
50ºC;5;2h;21;50;15;4;19;2;0,905
55ºC;1;2h;22;55;0;14;14;8;0,636
55ºC;2;2h;22;55;0;10;10;12;0,455
55ºC;3;2h;22;55;0;10;10;12;0,455
55ºC;4;2h;21;55;0;15;15;6;0,714
55ºC;5;2h;23;55;0;12;12;11;0,522
60ºC;1;2h;21;60;0;0;0;21;0
60ºC;2;2h;21;60;0;0;0;21;0
60ºC;3;2h;21;60;0;0;0;21;0
60ºC;4;2h;21;60;0;0;0;21;0
60ºC;5;2h;22;60;0;0;0;22;0
65ºC;1;2h;21;65;0;0;0;21;0
65ºC;2;2h;21;65;0;0;0;21;0
65ºC;3;2h;21;65;0;0;0;21;0
65ºC;4;2h;21;65;0;0;0;21;0
65ºC;5;2h;22;65;0;0;0;22;0
CTRL;1;24h;21;5;20;1;21;0;1
CTRL;2;24h;22;5;22;0;22;0;1
CTRL;3;24h;21;5;19;2;21;0;1
CTRL;4;24h;21;5;20;1;21;0;1
CTRL;5;24h;22;5;18;3;21;1;0,955
40ºC;1;24h;21;40;20;0;20;1;0,952
40ºC;2;24h;21;40;21;0;21;0;1
40ºC;3;24h;21;40;21;0;21;0;1
40ºC;4;24h;22;40;20;1;21;1;0,955
40ºC;5;24h;21;40;19;1;20;1;0,952
50ºC;1;24h;23;50;23;0;23;0;1
50ºC;2;24h;22;50;16;2;18;4;0,818
50ºC;3;24h;21;50;18;1;19;2;0,905
50ºC;4;24h;22;50;21;0;21;1;0,955
50ºC;5;24h;21;50;17;3;20;1;0,952
55ºC;1;24h;22;55;17;2;19;3;0,864
55ºC;2;24h;22;55;12;4;16;6;0,727
55ºC;3;24h;22;55;13;4;17;5;0,773
55ºC;4;24h;21;55;14;3;17;4;0,81
55ºC;5;24h;23;55;17;4;21;2;0,913
60ºC;1;24h;21;60;0;1;1;20;0,048
60ºC;2;24h;21;60;0;0;0;21;0
60ºC;3;24h;21;60;0;1;1;20;0,048
60ºC;4;24h;21;60;0;0;0;21;0
60ºC;5;24h;22;60;0;0;0;22;0
65ºC;1;24h;21;65;0;0;0;21;0
65ºC;2;24h;21;65;0;0;0;21;0
65ºC;3;24h;21;65;0;0;0;21;0
65ºC;4;24h;21;65;0;0;0;21;0
65ºC;5;24h;22;65;0;0;0;22;0
CTRL;1;48h;21;5;20;0;20;1;0,952
CTRL;2;48h;22;5;21;1;22;0;1
CTRL;3;48h;21;5;21;0;21;0;1
CTRL;4;48h;21;5;15;5;20;1;0,952
CTRL;5;48h;22;5;18;2;20;2;0,909
40ºC;1;48h;21;40;20;1;21;0;1
40ºC;2;48h;21;40;20;1;21;0;1
40ºC;3;48h;21;40;20;1;21;0;1
40ºC;4;48h;22;40;18;2;20;2;0,909
40ºC;5;48h;21;40;21;0;21;0;1
50ºC;1;48h;23;50;22;1;23;0;1
50ºC;2;48h;22;50;18;0;18;4;0,818
50ºC;3;48h;21;50;19;0;19;2;0,905
50ºC;4;48h;22;50;19;2;21;1;0,955
50ºC;5;48h;21;50;18;0;18;3;0,857
55ºC;1;48h;22;55;20;0;20;2;0,909
55ºC;2;48h;22;55;14;2;16;6;0,727
55ºC;3;48h;22;55;16;3;19;3;0,864
55ºC;4;48h;21;55;17;2;19;2;0,905
55ºC;5;48h;23;55;20;1;21;2;0,913
60ºC;1;48h;21;60;0;0;0;21;0
60ºC;2;48h;21;60;0;0;0;21;0
60ºC;3;48h;21;60;0;0;0;21;0
60ºC;4;48h;21;60;0;0;0;21;0
60ºC;5;48h;22;60;0;0;0;22;0
65ºC;1;48h;21;65;0;0;0;20;0
65ºC;2;48h;21;65;0;0;0;19;0
65ºC;3;48h;21;65;0;0;0;20;0
65ºC;4;48h;21;65;0;0;0;19;0
65ºC;5;48h;22;65;0;0;0;20;0
