type;Replicate;N;time;temp;A+;A;sumact;in;propact
CTRL;1;20;2h;23;20;0;20;0;1
CTRL;2;20;2h;23;17;1;18;2;0,9
CTRL;3;20;2h;23;18;1;19;1;0,95
CTRL;4;20;2h;23;18;0;18;2;0,9
CTRL;5;21;2h;23;19;1;20;1;0,952380952
70ºC;1;20;2h;70;18;2;20;0;1
70ºC;2;20;2h;70;19;0;19;1;0,95
70ºC;3;20;2h;70;19;0;19;1;0,95
70ºC;4;20;2h;70;20;0;20;0;1
70ºC;5;19;2h;70;19;0;19;0;1
80ºC;1;19;2h;80;17;2;19;0;1
80ºC;2;20;2h;80;15;4;19;1;0,95
80ºC;3;20;2h;80;18;1;19;1;0,95
80ºC;4;21;2h;80;17;4;21;0;1
80ºC;5;20;2h;80;16;0;16;4;0,8
82ºC;1;20;2h;82;0;10;10;10;0,5
82ºC;2;20;2h;82;12;5;17;3;0,85
82ºC;3;20;2h;82;11;5;16;4;0,8
82ºC;4;20;2h;82;13;4;17;3;0,85
82ºC;5;20;2h;82;7;9;16;4;0,8
85ºC;1;20;2h;85;0;0;0;20;0
85ºC;2;20;2h;85;0;0;0;20;0
85ºC;3;20;2h;85;0;0;0;20;0
85ºC;4;20;2h;85;0;0;0;20;0
85ºC;5;20;2h;85;0;0;0;20;0
90ºC;1;21;2h;90;0;0;0;21;0
90ºC;2;20;2h;90;0;0;0;20;0
90ºC;3;20;2h;90;0;0;0;20;0
90ºC;4;20;2h;90;0;0;0;20;0
90ºC;5;21;2h;90;0;0;0;21;0
CTRL;1;20;24h;23;18;0;18;2;0,9
CTRL;2;20;24h;23;17;0;17;3;0,85
CTRL;3;20;24h;23;18;0;18;2;0,9
CTRL;4;20;24h;23;18;1;19;1;0,95
CTRL;5;21;24h;23;19;1;20;1;0,952380952
70ºC;1;20;24h;70;15;5;20;0;1
70ºC;2;20;24h;70;19;0;19;1;0,95
70ºC;3;20;24h;70;19;1;20;0;1
70ºC;4;20;24h;70;19;1;20;0;1
70ºC;5;19;24h;70;14;5;19;0;1
80ºC;1;19;24h;80;15;0;15;4;0,789473684
80ºC;2;20;24h;80;19;0;19;1;0,95
80ºC;3;20;24h;80;15;2;17;3;0,85
80ºC;4;21;24h;80;14;4;18;3;0,857142857
80ºC;5;20;24h;80;20;0;20;0;1
82ºC;1;20;24h;82;8;2;10;10;0,5
82ºC;2;20;24h;82;15;2;17;3;0,85
82ºC;3;20;24h;82;14;1;15;5;0,75
82ºC;4;20;24h;82;17;0;17;3;0,85
82ºC;5;20;24h;82;15;1;16;4;0,8
85ºC;1;20;24h;85;0;0;0;20;0
85ºC;2;20;24h;85;0;0;0;20;0
85ºC;3;20;24h;85;0;0;0;20;0
85ºC;4;20;24h;85;0;0;0;20;0
85ºC;5;20;24h;85;0;0;0;20;0
90ºC;1;21;24h;90;0;2;2;19;0,095238095
90ºC;2;20;24h;90;0;0;0;20;0
90ºC;3;20;24h;90;0;0;0;20;0
90ºC;4;20;24h;90;0;0;0;20;0
90ºC;5;21;24h;90;0;0;0;21;0
CTRL;1;20;48h;23;14;3;17;3;0,85
CTRL;2;20;48h;23;16;2;18;2;0,9
CTRL;3;20;48h;23;18;0;18;2;0,9
CTRL;4;20;48h;23;18;0;18;2;0,9
CTRL;5;21;48h;23;18;1;19;2;0,904761905
70ºC;1;20;48h;70;15;4;19;1;0,95
70ºC;2;20;48h;70;19;0;19;1;0,95
70ºC;3;20;48h;70;20;0;20;0;1
70ºC;4;20;48h;70;18;1;19;1;0,95
70ºC;5;19;48h;70;17;1;18;1;0,947368421
80ºC;1;19;48h;80;16;0;16;3;0,842105263
80ºC;2;20;48h;80;19;0;19;1;0,95
80ºC;3;20;48h;80;16;1;17;3;0,85
80ºC;4;21;48h;80;18;0;18;3;0,857142857
80ºC;5;20;48h;80;18;1;19;1;0,95
82ºC;1;20;48h;82;10;4;14;6;0,7
82ºC;2;20;48h;82;14;4;18;2;0,9
82ºC;3;20;48h;82;15;0;15;5;0,75
82ºC;4;20;48h;82;13;2;15;5;0,75
82ºC;5;20;48h;82;15;1;16;4;0,8
85ºC;1;20;48h;85;0;0;0;20;0
85ºC;2;20;48h;85;0;0;0;20;0
85ºC;3;20;48h;85;0;0;0;20;0
85ºC;4;20;48h;85;0;0;0;20;0
85ºC;5;20;48h;85;0;0;0;20;0
90ºC;1;21;48h;90;0;2;2;19;0,095238095
90ºC;2;20;48h;90;0;0;0;20;0
90ºC;3;20;48h;90;0;0;0;20;0
90ºC;4;20;48h;90;0;0;0;20;0
90ºC;5;21;48h;90;0;0;0;21;0
