type;Replicate;time;N;temp;act+;act;sumact;in;propact
CTRL;1;2h;20;23;18;0;18;2;0,9
CTRL;2;2h;20;23;20;0;20;0;1
CTRL;3;2h;20;23;19;0;19;1;1
CTRL;4;2h;20;23;20;0;20;0;1
CTRL;5;2h;20;23;19;1;20;0;1
40ºC;1;2h;20;40;20;0;20;0;1
40ºC;2;2h;20;40;19;0;19;1;1
40ºC;3;2h;19;40;18;0;18;1;0,9
40ºC;4;2h;20;40;19;1;20;0;1
40ºC;5;2h;22;40;21;1;22;0;1
50ºC;1;2h;21;50;19;0;19;2;0,9
50ºC;2;2h;20;50;18;2;20;0;1
50ºC;3;2h;20;50;20;0;20;0;1
50ºC;4;2h;20;50;19;0;19;1;1
50ºC;5;2h;20;50;18;1;19;1;1
60ºC;1;2h;20;60;18;0;18;2;0,9
60ºC;2;2h;19;60;18;0;18;1;0,9
60ºC;3;2h;20;60;19;0;19;1;1
60ºC;4;2h;20;60;18;0;18;2;0,9
60ºC;5;2h;21;60;21;0;21;0;1
65ºC;1;2h;20;65;0;1;1;19;0,1
65ºC;2;2h;20;65;0;0;0;20;0
65ºC;3;2h;20;65;0;7;7;13;0,4
65ºC;4;2h;20;65;0;0;0;20;0
65ºC;5;2h;21;65;0;0;0;21;0
70ºC;1;2h;20;70;0;0;0;20;0
70ºC;2;2h;20;70;0;0;0;20;0
70ºC;3;2h;20;70;0;0;0;20;0
70ºC;4;2h;20;70;0;0;0;20;0
70ºC;5;2h;20;70;0;0;0;20;0
CTRL;1;24h;20;23;17;1;18;2;0,9
CTRL;2;24h;20;23;20;0;20;0;1
CTRL;3;24h;20;23;18;1;19;1;1
CTRL;4;24h;20;23;20;0;20;0;1
CTRL;5;24h;20;23;20;0;20;0;1
40ºC;1;24h;20;40;19;0;19;1;1
40ºC;2;24h;20;40;20;0;20;0;1
40ºC;3;24h;19;40;19;0;19;0;1
40ºC;4;24h;20;40;20;0;20;0;1
40ºC;5;24h;22;40;22;0;22;0;1
50ºC;1;24h;21;50;19;0;19;2;0,9
50ºC;2;24h;20;50;19;0;19;1;1
50ºC;3;24h;20;50;20;0;20;0;1
50ºC;4;24h;20;50;19;0;19;1;1
50ºC;5;24h;20;50;18;0;18;2;0,9
60ºC;1;24h;20;60;17;0;17;3;0,9
60ºC;2;24h;19;60;17;1;18;1;0,9
60ºC;3;24h;20;60;18;0;18;2;0,9
60ºC;4;24h;20;60;18;1;19;1;1
60ºC;5;24h;21;60;21;0;21;0;1
65ºC;1;24h;20;65;3;5;8;12;0,4
65ºC;2;24h;20;65;0;2;2;18;0,1
65ºC;3;24h;20;65;9;2;11;9;0,6
65ºC;4;24h;20;65;0;0;0;20;0
65ºC;5;24h;21;65;1;6;7;14;0,3
70ºC;1;24h;20;70;0;0;0;20;0
70ºC;2;24h;20;70;0;0;0;20;0
70ºC;3;24h;20;70;0;0;0;20;0
70ºC;4;24h;20;70;0;0;0;20;0
70ºC;5;24h;20;70;0;0;0;20;0
CTRL;1;48h;20;23;18;1;19;1;1
CTRL;2;48h;20;23;20;0;20;0;1
CTRL;3;48h;20;23;19;0;19;1;1
CTRL;4;48h;20;23;19;0;19;1;1
CTRL;5;48h;20;23;19;1;20;0;1
40ºC;1;48h;20;40;19;0;19;1;1
40ºC;2;48h;20;40;19;1;20;0;1
40ºC;3;48h;19;40;16;3;19;0;1
40ºC;4;48h;20;40;19;1;20;0;1
40ºC;5;48h;22;40;21;0;21;1;1
50ºC;1;48h;21;50;19;0;19;2;0,9
50ºC;2;48h;20;50;18;1;19;1;1
50ºC;3;48h;20;50;17;1;18;2;0,9
50ºC;4;48h;20;50;19;0;19;1;1
50ºC;5;48h;20;50;17;0;17;3;0,9
60ºC;1;48h;20;60;16;1;17;3;0,9
60ºC;2;48h;19;60;16;2;18;1;0,9
60ºC;3;48h;20;60;17;2;19;1;1
60ºC;4;48h;20;60;18;0;18;2;0,9
60ºC;5;48h;21;60;21;0;21;0;1
65ºC;1;48h;20;65;4;7;11;9;0,6
65ºC;2;48h;20;65;1;2;3;17;0,2
65ºC;3;48h;20;65;14;1;15;5;0,8
65ºC;4;48h;20;65;0;0;0;20;0
65ºC;5;48h;21;65;4;5;9;12;0,4
70ºC;1;48h;20;70;0;0;0;20;0
70ºC;2;48h;20;70;0;0;0;20;0
70ºC;3;48h;20;70;0;0;0;20;0
70ºC;4;48h;20;70;0;0;0;20;0
70ºC;5;48h;20;70;0;0;0;20;0
